Month ending on,95th percentile,GB total
19-Nov-23,0.01 Mbps,73.1
19-Oct-23,0.06 Mbps,101.05
19-Sep-23,0.12 Mbps,192.15
19-Aug-23,0 Mbps,155.06
19-Jul-23,0 Mbps,183.59
19-Jun-23,0.56 Mbps,187.72
19-May-23,0.01 Mbps,18.22
19-Apr-23,0 Mbps,8.01
19-Mar-23,0.01 Mbps,40.77
19-Feb-23,0.01 Mbps,223.5
19-Jan-23,0.01 Mbps,103.82
19-Dec-22,0.17 Mbps,90.11
19-Nov-22,0.06 Mbps,41.83
19-Oct-22,0.03 Mbps,11.52
19-Sep-22,0.01 Mbps,45.96
19-Aug-22,1.18 Mbps,89.2
19-Jul-22,0.01 Mbps,13.74
19-Jun-22,0 Mbps,27.02
19-May-22,0.24 Mbps,150.81
19-Apr-22,0 Mbps,9.34
19-Mar-22,0 Mbps,10.37
19-Feb-22,0.03 Mbps,93.16
19-Jan-22,0.01 Mbps,22.09
19-Dec-21,0 Mbps,8.71
19-Nov-21,0.41 Mbps,63.46
19-Oct-21,0.01 Mbps,18.99
19-Sep-21,0.01 Mbps,30.74
19-Aug-21,0.04 Mbps,92.41
19-Jul-21,0 Mbps,35.59
19-Jun-21,0.01 Mbps,63.15
19-May-21,0.01 Mbps,112.35
19-Apr-21,0.01 Mbps,28.41
19-Mar-21,0.01 Mbps,13.2
19-Feb-21,0.01 Mbps,50.12
19-Jan-21,0.01 Mbps,9.02
19-Dec-20,0.02 Mbps,10.79
19-Nov-20,0.01 Mbps,4.7
19-Oct-20,0 Mbps,5.59
19-Sep-20,0 Mbps,1.4
19-Aug-20,0 Mbps,37.27
19-Jul-20,0 Mbps,75.47
19-Jun-20,0 Mbps,3.56
19-May-20,0 Mbps,10.97
19-Apr-20,0 Mbps,29.72
19-Mar-20,3.86 Mbps,439.19
19-Feb-20,6.84 Mbps,552.81
19-Jan-20,7.86 Mbps,601.03
19-Dec-19,8.17 Mbps,658.6
19-Nov-19,7.05 Mbps,617.08
19-Oct-19,5.38 Mbps,452.73
19-Sep-19,2.31 Mbps,265.06
Total,,6184.26
